PRCP       002020 19100801 20101130 MOOLA BULLA                                 
20061201 20061231   104.4
20070101 20070131   255.2
20070201 20070228     9.4
20070301 20070331   159.8
20070401 20070430     0.0
20070501 20070531    28.2
20070601 20070630    47.6
20070701 20070731     0.0
20070801 20070831     0.0
20070901 20070930 99999.9
20071001 20071031 99999.9
20071101 20071130 99999.9
20071201 20071231   152.4
20080101 20080131   120.6
20080201 20080229   328.4
20080301 20080331    12.0
20080401 20080430     0.0
20080501 20080531     0.0
20080601 20080630    40.0
20080701 20080731     0.0
20080801 20080831     6.0
20080901 20080930     7.6
20081001 20081031    10.0
20081101 20081130    93.2
20081201 20081231    65.6
20090101 20090131   254.0
20090201 20090228    97.6
20090301 20090331    49.5
20090401 20090430     0.0
20090501 20090531     0.0
20090601 20090630     0.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     0.0
20091001 20091031     3.0
20091101 20091130    19.0
20091201 20091231    32.4
20100101 20100131   286.2
20100201 20100228    95.8
20100301 20100331    56.0
20100401 20100430    14.2
20100501 20100531    71.3
20100601 20100630     0.0
20100701 20100731    61.0
20100801 20100831     0.0
20100901 20100930    66.0
20101001 20101031    91.2
20101101 20101130    12.6

