PRCP       002020 19100801 20101130 MOOLA BULLA                                 
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     5.6
19321101 19321130    12.3
19321201 19321231   135.4
19330101 19330131    32.8
19330201 19330228    40.1
19330301 19330331    73.4
19330401 19330430     6.1
19330501 19330531     1.0
19330601 19330630     0.8
19330701 19330731     0.0
19330801 19330831    30.5
19330901 19330930     7.1
19331001 19331031     2.3
19331101 19331130     0.0
19331201 19331231   136.0
19340101 19340131    92.9
19340201 19340228   167.7
19340301 19340331    60.2
19340401 19340430    36.0
19340501 19340531     8.9
19340601 19340630     0.0
19340701 19340731    62.9
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     0.0
19341101 19341130    75.7
19341201 19341231     2.5
19350101 19350131   121.1
19350201 19350228    96.2
19350301 19350331   178.0
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     2.0
19351001 19351031    23.1
19351101 19351130     7.2
19351201 19351231    14.0
19360101 19360131    42.6
19360201 19360229   144.1
19360301 19360331     5.1
19360401 19360430     3.8
19360501 19360531     8.9
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130    40.4
19361201 19361231    85.4
19370101 19370131   375.1
19370201 19370228    45.4
19370301 19370331    25.1
19370401 19370430     4.1
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031    12.7
19371101 19371130    44.7
19371201 19371231    70.5
19380101 19380131    58.4
19380201 19380228   123.6
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630    13.4
19380701 19380731    27.2
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    75.6
19381201 19381231    38.9
19390101 19390131    18.0
19390201 19390228    88.7
19390301 19390331    34.8
19390401 19390430    30.0
19390501 19390531     0.0
19390601 19390630    35.0
19390701 19390731    43.2
19390801 19390831     3.3
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130    54.7
19391201 19391231    80.5
19400101 19400131   135.7
19400201 19400229    88.3
19400301 19400331     7.9
19400401 19400430    22.3
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     1.0
19401001 19401031     3.5
19401101 19401130     4.0
19401201 19401231   110.8
19410101 19410131    85.1
19410201 19410228     0.0
19410301 19410331   210.3
19410401 19410430     0.0
19410501 19410531    22.1
19410601 19410630    81.6
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    13.5
19411101 19411130    43.3
19411201 19411231    67.0
19420101 19420131   303.6
19420201 19420228   190.2
19420301 19420331    77.0
19420401 19420430    18.5
19420501 19420531     9.9
19420601 19420630     0.8
19420701 19420731     0.0
19420801 19420831     3.6
19420901 19420930     0.0
19421001 19421031     4.6
19421101 19421130    71.8
19421201 19421231    21.3
19430101 19430131    85.1
19430201 19430228    39.4
19430301 19430331   119.9
19430401 19430430     4.1
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731    10.2
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     5.9
19431101 19431130    11.4
19431201 19431231   126.1
19440101 19440131   288.8
19440201 19440229     3.3
19440301 19440331    45.2
19440401 19440430     0.0
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031    36.8
19441101 19441130     3.6
19441201 19441231   121.7
19450101 19450131   127.8
19450201 19450228    92.3
19450301 19450331     0.0
19450401 19450430     0.0
19450501 19450531     0.0
19450601 19450630     0.0
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     4.8
19451101 19451130     3.9
19451201 19451231    61.4
19460101 19460131   101.2
19460201 19460228    90.4
19460301 19460331    19.1
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     5.1
19461201 19461231    28.0
19470101 19470131    47.3
19470201 19470228   185.0
19470301 19470331   111.3
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     0.0
19470701 19470731     0.0
19470801 19470831    57.1
19470901 19470930    18.1
19471001 19471031    58.7
19471101 19471130     6.7
19471201 19471231    15.3
19480101 19480131    14.5
19480201 19480229   181.4
19480301 19480331    51.3
19480401 19480430    31.0
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     6.4
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     5.4
19481201 19481231    35.3
19490101 19490131    45.7
19490201 19490228   298.2
19490301 19490331    41.4
19490401 19490430     0.0
19490501 19490531    36.8
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     6.3
19491101 19491130     3.6
19491201 19491231   117.3
19500101 19500131    74.4
19500201 19500228    80.6
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531     3.0
19500601 19500630     0.0
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     9.7
19501001 19501031    67.1
19501101 19501130    78.3
19501201 19501231   160.1
19510101 19510131   105.4
19510201 19510228   130.6
19510301 19510331     0.0
19510401 19510430    51.8
19510501 19510531     0.0
19510601 19510630     4.6
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     6.6
19511101 19511130    33.6
19511201 19511231     8.6
19520101 19520131    72.2
19520201 19520229    45.5
19520301 19520331    16.5
19520401 19520430     0.3
19520501 19520531     3.3
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.3
19520901 19520930     1.8
19521001 19521031    34.3
19521101 19521130    15.5
19521201 19521231    23.3
19530101 19530131   165.3
19530201 19530228    76.3
19530301 19530331    89.2
19530401 19530430     4.8
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     0.0
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130    30.9
19531201 19531231   247.2
19540101 19540131    96.2
19540201 19540228    17.5
19540301 19540331     0.0
19540401 19540430   126.8
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     1.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031    36.0
19541101 19541130    22.0
19541201 19541231    20.3
19550101 19550131   138.0
19550201 19550228    54.8
19550301 19550331    87.3
19550401 19550430    14.0
19550501 19550531    38.0
19550601 19550630     2.8
19550701 19550731    64.4
19550801 19550831     4.1
19550901 19550930     0.0
19551001 19551031     4.3
19551101 19551130    50.0
19551201 19551231     9.7
19560101 19560131    44.0
19560201 19560229   292.4
19560301 19560331    18.3
19560401 19560430    13.1
19560501 19560531    14.0
19560601 19560630     0.6
19560701 19560731    69.4
19560801 19560831     0.0
19560901 19560930     0.0
19561001 19561031     0.3
19561101 19561130    22.9
19561201 19561231    17.4
19570101 19570131    29.0
19570201 19570228    87.1
19570301 19570331    35.0
19570401 19570430    12.6
19570501 19570531     2.8
19570601 19570630    87.8
19570701 19570731     6.6
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     2.3
19571101 19571130    18.1
19571201 19571231    77.5
19580101 19580131   137.1
19580201 19580228    37.6
19580301 19580331    47.0
19580401 19580430     2.8
19580501 19580531     0.3
19580601 19580630     4.0
19580701 19580731     2.3
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     1.0
19581101 19581130    38.1
19581201 19581231    84.0
19590101 19590131   503.7
19590201 19590228    15.1
19590301 19590331    24.0
19590401 19590430    84.3
19590501 19590531    80.7
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     5.9
19591001 19591031     0.3
19591101 19591130    32.6
19591201 19591231    47.3
19600101 19600131   134.0
19600201 19600229    81.9
19600301 19600331    82.5
19600401 19600430    12.7
19600501 19600531    88.0
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031    12.2
19601101 19601130    32.0
19601201 19601231   148.5
19610101 19610131    22.8
19610201 19610228   100.3
19610301 19610331    39.1
19610401 19610430    11.4
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130    30.9
19611201 19611231    22.8
19620101 19620131   213.0
19620201 19620228   153.2
19620301 19620331     0.0
19620401 19620430     0.0
19620501 19620531    20.3
19620601 19620630     0.0
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031    61.5
19621101 19621130     7.1
19621201 19621231     2.5
19630101 19630131   201.2
19630201 19630228     7.4
19630301 19630331     0.0
19630401 19630430     0.0
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     0.5
19631101 19631130     5.1
19631201 19631231    86.2
19640101 19640131    62.0
19640201 19640229    17.4
19640301 19640331     3.8
19640401 19640430    46.8
19640501 19640531    30.2
19640601 19640630     0.3
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     3.3
19641001 19641031     0.0
19641101 19641130     5.3
19641201 19641231    63.3
19650101 19650131   134.8
19650201 19650228    11.8
19650301 19650331    99.7
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031    16.8
19651101 19651130    47.0
19651201 19651231    24.1
19660101 19660131   336.2
19660201 19660228    44.3
19660301 19660331    52.8
19660401 19660430     5.1
19660501 19660531     8.9
19660601 19660630     6.1
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031    19.1
19661101 19661130    23.9
19661201 19661231    54.5
19670101 19670131   212.5
19670201 19670228   198.3
19670301 19670331    82.3
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     8.4
19671201 19671231   111.0
